"""Persetan dengan semua kalian yg bilang """"ga nemu nih cowo/cewe cakep ditell"""". Guys.. you are an absolute disgrace. Silly thing.""",anger,1
Tolonggggggggggggg-budi doremi,fear,2
Gua meet sama anon yg zuper zekaleh,joy class,3
Fc semenit doang. Lets go!,joy class,3
apa cuman gue yang ga liat cewe dari ** nya?? -m18,netral,
ig error? ????????????????????????,netral,
"""Gatau mau ngapain, bosen ngapa2in. Ga ada kegiatan""",sad,5
Wa sama ig lagi error gak sih?,netral,
Pengen chat sama f hijab deh suka M,joy class,3
yuk chat tentang apa aja atau keseharian btw gua f21,joy class,3
yang kelahiran 45 ayo temenan,joy class,3
"""Tiap mau keluar rumah nunggu tetangga pada masuk rumah dulu baru keluar. Astaga, dipikir² kek maling aja. Padahal males basa basi ??""",sad,5
ada yang pernah nonton Ini Talkshow secara langsung ga,netral,
yg punya husky sharing dong:(,sad,5
"""Gapernah meet sama anon di sini, soalnya jauh2 semua. Kalo ada yg se kota pc aja ya gw di Cirebon siapa tau kita jodoh hehe M23""",joy class,3
"""chat routine aku sm doi: ?? pagi *jam 11an keatas br bls* ??aku br bgn ??udhtau ??aku mau ke ??ok *hilang sampe malem* ??aku udh dirumah, mau pubg *bls bsknya* ??ak ud tdr """,sad,5
"""berawal di sini, app anon. gue iseng chat dia di status puisinya. gue suka, dia baik, asik, smart! Wise. janjian ketemuan, mundur krn liat dia ganteng. *minder* ??BS??""",joy class,3
Rekomendasi toko online jam tangan wanita ori dong di ig/Shopee/tokped,netral,
ig error? ????????????????????????,netral,
"""""""Safety can be fun"""" Gw: MATAKLOOOO ??????""",anger,1
Risih ga liat cewe kerudungan tangan bajunya 3/4 trus pale manset? Gue takut risih :(,fear,2
grup kelas kalian tipe yg rame apa sepi?,netral,
"""Aku ada saat ini semuanya karna kasih Mu, aku hidup hari ini semua berkat kemurahan Mu. Terimakasih Yesus, engkau sangat baik, teramat baik bagi ku. Happy sunday!??""",joy class,3
Udah lama gk nemu anon yg bisa chtan lama sampe berminggu minggu:)f,joy class,3
Kangen moment2 nontonin kamu futsal:(,sad,5
Baru buka tell lg sekian lama ini (padahal abis kena ban) wkwkwk m22,joy class,3
Lara bercerita. Lara itu,netral,
SERUM ERTOS YANG KINCLONG BAGUS GA SIH?,netral,
ada yg pernah pake serum nacific gk? gmna? gmana?,netral,
"""""""Cuma laki-laki pengecut yang gamau dan ga berani sama perempuan mandiri."""" Makasih untuk siapapun kamu yang bilang ini, it warms me up?""",joy class,3
Jatos yuk:( wkwkwk kurang hiburan banget,sad,5
the best revenge is no revenge,joy class,3
"""Gua chat sama anon cewe cuma bertahan seminggu doang ,sisanya ga gua chat lagi abis itu gua blokir""",sad,5
Chat yuk yang berfaedah tapi -f here,joy class,3
"""Kukumu panjang kata ibu rindu, itu karena memang tak pernah di pangkas""",netral,
Dilema potong rambut apa jangan,confused,
plis lah ini sebenernya hamster yang baru lahir harus dipisah dari bokapnya apa engga? gua liat di google ada yg gaboleh dipisah ada yang harus dipisah hua,confused,
"""Bibirnya tipis merah, kulitnya putih, dia tinggi, pake hoodie corak teddy bear (gemes yawlah) ??BS??. PAS LIHAT, OKE GUE GROGI SEKETIKA DAN HILANG. LIHAT DR JAUH AJA""",joy class,3
"""Kenapa jd mimpi ngelakuin s ex sm jk sm V, ??""",sad,5
"""Hehe maafin tapi kalo chat lo udah tiap jam nanya """"lagi apa?"""" Gue ec.""",joy class,3
"""Kenal sudah 1,5 tahun. baru nyatakan perasaan 2 bulan terakhir. Sudah mantap. Saya putuskan 2-3 years challenge to marry her ^.^""",joy class,3
Ieu mah pasti isi na nu baheula pemain secret whisper saya terus nu lambangna srigala teh naon sih,netral,
Ada yg pernah minum obat pelangsing bentuk tablet/teh? Ada efek setelah lo minum bakal apa gitu ga?,netral,
Anjrit tuket ke senggol pra haid itu zxccbnmmllll sakit banget,anger,1
Eh putra siregar store itu produknya ori gak sih?,netral,
"""""""mas jemput di sekolah"""" """"maas jemput"""" """"jemput di ss"""" """"nanti jemput ya"""" """"mas bisa jemput ga?"""" baru sadar chat sama adek isinya minta jemput doang ??""",sad,5
Buka ig-twitter-tell. Gitu aja terus,sad,5
Kentang tu mksdnya apa sih? Gemuk ky kentang?,netral,
Kalian beli apa ajanih di sociolla?,netral,
alasen kalian ga masang dp di sosmed apasi,confused,
Gue cuci muka pake sabun dettol batangan. Aman ga tuh?,netral,
"""can i have sugardaddy to fund my master's degree abroad, pretty please??""",joy class,3
KENAPA SIH KENTANG IDENTIK JELEK?!?! padahal dia enak:(,anger,1
"""Semakin merasa tak berguna, mau itu di kuliahan maupun digereja:)""",sad,5
Gua pengen tlpan sama cewe. Gua cowo 22 tahun,joy class,3
Ada Fsma berhijab? Kalo ada pc dongh,netral,
Semakin lama makin pendek chatnya dan kemudian dia pun hilang,sad,5
"""Gw anak tunggal, dr kecil pengen bgt punya abang?? gimana dong caranya wkwkw""",sad,5
"""*mo bukber sama anon* nyokap: kamu mau bukber sama siapa? gua: temen *suara kecil, buang muka* nyokap: dimana? gua: *pura2 g denger* saking mlz diintrogasi??""",sad,5
"""Selama gua makan gak dari elu, omongan lu gua anggap angin lalu""",sad,5
"""tp kata dosen gua sih, kalian klo makan kentang ibaratnya kek makan pestisida soalnya di dieng budidaya kentang tuh sulit, banyak hama dan penyakitnya. """,netral,
"""mau ngomong sama kalian dong, sesama cewe juga ayo!""",joy class,3
Pengen ip xr tp mau s10 jg huhu bingung :( takut nyesel beli..,fear,2
"""Aku subuh baca qunut, kamu subuh ga baca qunut. """,sad,5
Fc move line? M21 Bekasi,netral,
"""Sampe sekarang masih chat di sini, ga move. Udah lama banget chattan sm dia tp tetep seru, tetep asik. Dia juga sopan walaupun suka nyebelin. Nyesel tapi takut ??BS??""",joy class,3
"""I want to talk to somebody~ talking abt universe, odd things, hahahahaahahaha""",joy class,3
F bi artinya apaaaannn?,netral,
Pengen nonton tapi tidak punya uang,sad,5
Kalian pernah nemu kasus yang pakek softlens terus masuk ke mata gitu ga? itu bener ga sih?,netral,
"""Kalo aku ikut bukber, aku seneng seneng diluar sementara mama kesepian dirumah""",sad,5
Bodohnya gua kemaren berlebihan pas diajak move sama cewe sampai ga sadar padahal tampilan dia amat zonk cuma dibuat sedemikian sok asik akhirnya w sadar,sad,5
"""Lu cuma punya dua tangan, jadi gunain buat nutupin telinga lu. Bukan buat nutup mulut mereka.""",anger,1
"""Kare enak, enak kare, ngapa gue ada di kare""",confused,
Komen apa yang sekarang lagi lu pikirin atau yang lu pengenin? - M22,netral,
"""cowo gabut minta fcan diline, di iyain sm cewe. cieeee dia maunya pas gabut doang tar juga gabut ilang lo ditinggal wkwkwkkw """,sad,5
"""Ku pengen tanya dong, kerudung segi empat yg bagus itu yg bagaimana bahanya? Kisaran berapa harganya?""",netral,
Yang share link spotify selalu gue dengerin loh guys ??,joy class,3
pernah pengen bundir ga? wkwk,sad,5
Mandi jam segini seger bgt gila....,joy class,3
"""Aku hanya gadis kentang yang berusaha jadi lebih cantik, agar bisa kamu hargai:)""",sad,5
nama ig edo yg lg rame. nama ignya apa?,netral,
"""Ni bunyi aer netes dr kemaren bikin penasaran, eh taunya ac gua bocor""",sad,5
"""gw mau bagusin badan,mending sixpack dulu apa gedein otot tangan?""",confused,
Gue menyadari bahwa gue gak terlalu suka chattingan dengan orang hm,netral,
WOY SERUM ERTOS KINCLONG BAGUS GAAKK???,netral,
W cewe 67/164 gendootz parah ya?,netral,
Ada yang masih chatan saya orang yang disuka (tanpa status) ? tapi akhir akhir ini ada orang lain yang lebih ngasih harapan dibanding dia ? ada yg ngerasain kya gtu?,confused,
Sepi bgt yaa. M(duapuluhkarakter),sad,5
Tteokbokki enak ga sih guys?,netral,
Huaaaaaa mimpiin mantan lagiii:((((,sad,5
rasa nya kiss ing itu gmn sih? cerita dong.. pc aja kalau bsa.. M JAKARTA,netral,
Ada yang pernah beli skincare shopee di stylefollow.id ngga? Dia barangnya ori kan?,netral,
"""Nonton ini dah yg suka ngatain korea plastik,ngaksuka boleh.https://youtu.be/ZKRXEcVY4Zc""",anger,1
****** gue minyak parfum cewe,netral,
ayo dong kali2 bahas ttg pertanian indonesah wkwkwk jgn politik mulu. lu pada masih butuh makan nasih kan bebih,joy class,3
Ada female yang mau fc diline? M19,netral,
Mau lah punya temen chat yg di kehidupan asli nya kayak anak gatau apa apa tp di dunia tell udah tau banyak soal gitu gitu ada ga? ?? ayo temenan M,joy class,3
Ukhti lebih suka bakso berurat atau enggak? M.,netral,
yg di bandung temenin aku ke pameran yuk!,joy class,3
Calum hood kok ganteng banget sih??,joy class,3
Ada yang masih chatan dgn orang yang disuka (tanpa status)? tbtb ada org lain yg dtng dan memberi lebih dr orang yang kamu suka. Kamu akan bertahan atau mencoba yg baru?,confused,
"""sumpah hari ini lemes bgt:( padahal sahur, kemarin yg ga sahur malah seger""",sad,5
"""paling suka liat komentar orang yang berantem. author maksudnya apa, yang komentar melenceng semua wkwk""",joy class,3
aku gasuka cowo mesom soalnya aku uda mesom,disgusted,
Feeetishhh gue liat muka cewe cute,joy class,3
"""Badai pasti berlalu, setelah mendung dan hujan pasti akan ada pelangi """,joy class,3
"""Pingin f w b an tp mksdnya yg saling support, partner kuliner, partner jalan. Gk ada mesum2nya sm sekali bisa g si -jogja""",netral,
Disini sepi bgt. Mau install whisper nanti keinget kenangan yg dulu2. Serbasalah. M,sad,5
Tukeran wa sama cowo dari sini. Liat dpnya : ganteng tp gue cuman upil doang,sad,5
"""Me, 21: kampus favorit, udh di kontrak buat kerja abis lulus, ip selalu >3.5, punya usaha, punya investasi, keluarga lbh dr cukup dan loving, umroh >1 and depressed""",sad,5
Benci banget sama orang yang kalau pas makan itu ngecap.,anger,1
"""Semua berawal dari wp. Gue kenal dia yang awalnya asik bgt, kita seru2an,sampe akhirnya kita move, tapi ketika move ternyata dia ga sesuai sama ekspetasi gue, dia jg..""",sad,5
Gasuka kalo di suruh cerita tentang mantan itu wajar ga sih? M23,disgusted,
"""Gua mau cerita nih pengalaman main tinder sampe deket sama cowok tinder 2x dan ketemu banyak temen baru darisana, ada yang mau nitik?""",netral,
"""fc trus sebut nama2 hewan ke gue dong, atau vn aja gpp. """,netral,
"""Ges mau nanya, kira2 iph x skrng brp ya yg msh baru? """,netral,
The one itu oriflame yakan?,netral,
Ada yang bisa buat saya gak patah hati?,sad,5
Td mana ya f 20 jakpus yg mau nemenin nonton malah di ec,sad,5
"""Ges, kalau potong rambut pas puasa, puasanya nggak batal kan?""",netral,
"""Facebook w udah 10 tahun aja, bentar lagi SMP""",netral,
"""membagikan playlist spotify ku untuk kalian. mungkin ada yang sukaa, silahkan di dengarkan ? dan mungkin ada yang ingin bertukar, sila komen dibawah ya. F20""",joy class,3
F bogor ada ga??????????,netral,
baru jam segini udah laper aja,sad,5
Depok lagi rawan banget ya,fear,2
Hilang ruang untuk cinta yang lain.,love,4
suka pgn ngeshare playlist spotipai aq tp akun w ada namanya ntar aq direport krn reveal identity,netral,
kalian kalo udh move gitu teleponan juga ga sih,netral,
Feeetissssh kalian apa,netral,
ada yang gay disini? dm coba,netral,
Ada F yg mau diceritain fantasi unik gw? Dijamin langka tpi seru bgt wkwk. PM yaaa,joy class,3
"""Baru kali ini fr dan langsung panggil yang2an, dan gue seketika merinding sendiri haha""",joy class,3
Kenapa kita masih berada di lingkaran yang sama dengan hati saling membungkam rasa padahal kita sama-sama paham akan rasa ini,sad,5
merasa beruntung ga si kalo dapet goodloking? apa b aja? kalo gua mah seneng ya wkwk,joy class,3
Mending S10e atau xr?Trs knp??,netral,
Ada fsma yang kelas 10 sampe 11?,netral,
"""Padahal aku penasaran dengan cerita mu pak, tapi kamu malah hilang:)""",sad,5
agase mau nanya lagu yang jadi ost got7 hard carry season 2 itu apa ya? yang liriknya we can last forever,netral,
Gatau males pengen lebaran ajah.. - M,sad,5
"""Tenang saja, saya masih mendengarkan kamu bercerita, walaupun diantara kita, cuma saya yang jatuh cinta""",sad,5
Yukk temani libur gw yg sangat tidak produktif ini -m20,sad,5
Kenapa ngerasa kosong banget ya hari ini.....,sad,5
Mai nakita akong isang babae di ko malimutan ang ka nyang imahe ano ba ang nyong pangalan noong nakita kita,netral,
Ketek ketek ketek ketek,netral,
My mood music today is avril lavigne songs,joy class,3
Tolong jangan sebut N word,netral,
"""Yang nganggur bisa bgt download popcash di play store lumayan dapetnya bisa dituker ovo/gopay/pulsa. Nih pake kode gue lgsg dapet 20k """"haykamu""""""",joy class,3
"""Apa si cewe yang goodloking2 itu ?,perasaan sebagai cowo gua liat cewe.itu sama2 aja dikampus banyak yang kaya gitu sampai bosen liatnya gua""",sad,5
Nastar knp gaenak bgt deh,sad,5
ayo chat! fsma (20krktr),joy class,3
Pengen cepat2 nikah biar bisa nyobain *** sama hamil :(,sad,5
Fc or skypecall yuk m22 single jkt,joy class,3
eh cara transisi chat yg dari lu gue jadi aku kamu gmn ya? takut awkward wkwk,fear,2
Naha timeline aing ngahiji jeng jakarta? Aing teu ngarti uy,confused,
im frustrated. really frustrated.,sad,5
tolong jangan mesum tolong,anger,1
Cowo yang ga rewel kalo ditinggal pas lagi sibuk emang wow.,joy class,3
Ada yang jurusan teknik kimia kah disini? Yang bisa dimintai tolong plisss,sad,5
Kmpretos yak timeline aing pada makanan semua isinya,netral,
"""ini udah kedua kalinya gw mimpi punya bayi perempuan yg cantik, pertanda apa?""",netral,
apa cuman gue doang. ketika nikah ga mau punya anak?:( ga tau kenapa,sad,5
skincare biar muka glowing dong,netral,
aku tu kalo ke kampus suka bingung make outfit kaya gimana anjir????,sad,5
Aku f21. pingin cari M yang udh cape nakal2 diluar dan udh pingin cri yg serius,sad,5
"""Nanya dong, cewe suka ga nyium vip s3xy man?""",netral,
"""Cari partner jogja, tp pingin yg lebi tinggi :( -F""",sad,5
l apa r alias lapar alias mau makan alias gaada masakan alias mau grabfood gapunya duit,sad,5
"""Ojo bungah nyawang wong susah, ojo susah nyawang wong bungah""",netral,
Feeetish gua liat cewe lgi nyemprot air ada sabun nya,joy class,3
w br tw maza novo amor ternyata dah pernah ke indo kok ajg w gtw bgst w pgn liat doi padahal bahlul:(,anger,1
"""izinkan aku untuk terakhir kalinya, semalam saja bersamamu mengenang asmara kita~""",love,4
JNT TAMAN SURYA KOK LAMA BANGET IH NGIRIMNYA? UDAH 3 HARI SAMA OSNYA DIKIRIM KE TAMSUR TAPI SM JNTNYA GA DIKIRIM-KIRIM:(,anger,1
"""cowo cuek dan cuman perhatian ke cewenya dan ibunya itu waw, pengen deh jadi cewe itu""",joy class,3
Ada yang dari Universitas widya mandala surabaya kah?,netral,
"""M25jkt 175/65 need part ner, langsung pc aja""",netral,
Emang ig error? ????????????????????????,netral,
Feeetish gue liat cewe klo renang,joy class,3
"""Aduh ini temen aing knp ya, cover laporan sama daftar isi aja ingin nyontek, udah mau selesai semester2 belom bisa bikin cover sama daftar isi?:(""",sad,5
F to f yuk . Lg bosen nih . (Gua mau nya f btw) cowo banyak modus,sad,5
Super duper kepingin keluar rumah jalan jalan. Akhirnya... muter muter tanpa arah naik kereta. Tapi sumpah kayak seru amat??????,joy class,3
kalo mau apply kerja jd waiter or waitress tuh samperin langsung aja ya nanya2 langsung,netral,
yuk jalan jalan yukkkk ????,joy class,3
"""Gue klo milih baju kebiasaan berdiri d dpn lemari mantengin tumpukan baju smpe gue nemu inspirasi pake yg mna. Bisa"""" smpe set jam anjir gitu amat gue :'""",sad,5
Kenapa banyak yg diblokir di WA ya,sad,5
novo amor plz dtg lg ke indo dong feb ugm gmw ngundang doi pha y,netral,
"""Ok google,cara buat mantan menyesal?m""",sad,5
tidur tidak tenang karena bokap bersihin rumah dengan ngeplay metalan. kode minta bantuin ini mah,fear,2
gue worth it buat diperjuangin.,sad,5
cara ngadepin orang yg sok tau: di-iyain aja biar cepet,joy class,3
"""Asmara berujung zina, dan pas zina mati dalam keadaan laknat Astagfirullah semoga terhindar dari itu..""",netral,
lippo karawaci anyone?,netral,
"""Gua punya cowo cemburuan abis, rada lebay si misal lg chattan trus ga lngsung keread aja udh ngoceh. Lelah si, tp skrg mlah gua ngerasa aneh klo dia cuek atau sibuk gawe. """,sad,5
fetishhh teraneh lo apaan,netral,
Sakit bat elah anjir????,sad,5
Ieu naha aya postingan org jakarta? Gmn cara ilangin nya,netral,
Aku suka cewek yang kurus.. M23,joy class,3
Jebak aku dalam labirinmu~,joy class,3
"""Ada yang mau mabar mobile legend ga? Haha tapi aku noob masih master, baru main lagi nih ce co bebas F""",joy class,3
"""Femme kuy chatt, yg ngerti aja hehe..""",joy class,3
Gatau ya aku sih main app ini buat becandaan????????,joy class,3
"""Perihal cinta, aku masih menjadi orang yang pesimis""",sad,5
mau beli cream blush tapi asa sayang duit gt anjir lah :(((,sad,5
parah dah sekalinya ga cuci muka trs auto tidur bangun2 muka gue kulit matinya pd keluar,anger,1
"""aku kurus, suka cowok gemuk+putih+lebih tua dr aku. intinya aku mau kakak ituuuuu????????""",joy class,3
"""tolong kata katain gue dong, gue terlalu bodoh dalam bercinta""",sad,5
novo amor adalah candu tp q dah lama ga dengerin doi krn lg seneng denger lofi utk wktu sad hour ku padahal mah g prnh sad cuma sok2an aja agar spy merasa punya hati,joy class,3
Tmen gua cewe kenapa si suka narik narik gue,sad,5
nyesel gak ikut sahur:( sekarang malah mau makan jadi gaenak??,sad,5
"""Menurut kalian aneh ga sih, gua demen bgt nanya nanyain mantan cowo gua ke doi, ngapain aja, trus gua cie ciein ?? trus dia ngomel dong, padahal gua ga masalahin sma skali""",joy class,3
lagi deket ama orang yg selalu bales chat cepet kata temen temen juga ganteng tapi guanya malah ragu buat bikin hubungan sama dia:(,fear,2
"""Cinta itu simpel sebenernya, kalo suka sayang deketin pepet terus, kalo ga suka tinggalin. Cuman kadang manusianya yg bikin rumit. M23 """,sad,5
Itu yg kaya ketupat di kanan Itu apa si?,netral,
Intenet bangsd.tugas gak kelar nih bt bet,anger,1
"""App donlotan di hape gua cm line, whatsapp, hago, twitter, tell. Lo? """,netral,
"""sahabat cowo gue sering banget ngirimin video2 lucu diinstagram ke dm gue, maksudnya apa ya? sering banget soalnya.""",joy class,3
Kaka kaka pns kemarin mana nih? ??,netral,
kan aku anak pertama. cewe. dan kmren baru aja lulus SMA. papa aku daridulu selalu nawarin ikut tes polri/tni krn tinggi badan aku cukup. tp aku,netral,
Cuci muka pake air marj4n enak,joy class,3
Minggu depan ke jogja mindahin barang ke kosan~ bokap gua nyuruh bawa printeran anjir wkwk,joy class,3
Ada yg pernah cobain innisfree green tea special kit?,netral,
Membicarakan mantan pada saat pdkt adalah hal yang kurang pantas.,anger,1
klo cm dbls 'y' aza dibiarin read aza g mslh kn yea haft sedih dh q tak pnya tmn chat lg ywdh aq ngebacot saza di mari,sad,5
pengen meluk cwe dari belakang,joy class,3
Ada f 20 - 25 jkt need f w bi? Pc dong,netral,
Mokel...............,netral,
"""Ada yang dari ui, its, itb, ums kah? Atau dari kampus lain. Pliss w butuh bantuan""",sad,5
"""https://www.instagram.com/p/BuKqervHFoR/?igshid=i35m7y1nh7ge enak banget huhu :""""""",sad,5
Luas membentang Terhanyut ku di angkasa raya rupanya Menelan bintang Terguyur ku di lautan warna rupanya,joy class,3
"""hatta, trying to flirt: so... do you come here often? rachmi: this is my house""",sad,5
"""laptop w wifi nya silang merah alias ga mau konek wifi, gimana cara benerin nya cui??""",sad,5
Gua seneng banget buat jadiin orang di kampus jadi bahan bercandaan wkwkw,joy class,3
Yok mabar mobile legend. Tier Legend 5 nih baru main lagi. Seru seruan aje. M22 here,joy class,3
mau ngopi trs cerita cerita banyak gt deh. jenuh kak,sad,5
"""m23, jakarta,, yang mau d cuddlee manja.""",joy class,3
"""jadi gue labrak orang ketiga yg ganggu hubungan gue, tapi cowo gue malah marah dan blg gue gapantes ngomong apa yg gua omongin di chat itu, akhirnya dia milih cewe itu""",anger,1
Fc clean yuk. Send idnya aja f here,joy class,3
suka dikatain aneh soalnya tipe gua yg item trus tinggi doang kaya orang afrika amerika gt gua suka wkwk aneh ga si?,joy class,3
Just love me right?????,love,4
Bgst gue blm tidur dr kmaren. Dan skrng ngantuk tp gabisa tidur2 :((,anger,1
Yang bad girl chat gue dong hahahaha m21,joy class,3
padahal y typing singkat2 mah biar cepet aja anjir namanya jg pesan singkat bukan pesan formal sesuai puebi elah bacot anda smwa,anger,1
pusing anj maen hp mulu smbl boboan drtd,anger,1
dasar nenek2 pagi2 ngomel2 mulu ??,anger,1
"""Butuh skinker! Yang ga terlalu murah/mahal (sedengan aja), buat kulit oily-acne prone, yang mantulita, apa gaeess?""",netral,
gw tetep gak nyerah nyari cewek kristen wkekw. kali aja ada wkwkw.. m24nasranijogja,joy class,3
Disini kan banyak anak twitter. Coba sebutin berapa followers dan following kalian. Sekalian gw mau nanya2,netral,
"""Fet¡sh sama k¡nk beda tau, yang suka kalian sebut mah biasanya k¡nk""",joy class,3
blm makan dr kemaren ******,sad,5
"""Pengen dehh kenal sm cowo, trus meet, abis itu dia serius sm gue *mupeng F""",joy class,3
"""As the Palaces Burn, Wrath - LoG & Meliora - Ghost adalah album favorit gue sepanjang masa""",joy class,3
"""Prinsip gua selama tuh cewe masih belum ada hubungan serius kaya nikah ya gua selingkuhin atau gua tinggalin sesuka gua ga masalah kan ? Hehe jawab aja """"cuma becanda""""""",joy class,3
Demen banget megangin collarbone,joy class,3
ISH CAPEK BETUL DENGERIN ORTU BERANTEM,anger,1
"""Benget kasep na moal aya, jangkung duit loba kurang naon deui atuh sok ajg""",netral,
enakan spotify apa joox dah? yg gampang bs play free sm gapake data gt:(,sad,5
temenin chat kek gue gabut bgt dikeretaa.. fhere,sad,5
di fakultas teknik ipk 2.9 kan wajar ya kan? itu termasuk lumayan apa jelek?,netral,
Temen w lg bucin beda bgt ye.,disgusted,
Kalau kamu masih ngambek dan ga mau bilang kita putus aja dah,anger,1
"""Ba, mansionmu terlalu besar sehingga kamu dengan senang hati mempersilahkan tamu-tamu untuk berkunjung. Tamu-tamu asing yang singgah beberapa saat. """,netral,
"""perasaan dulu tell gagini amat dah, sekarang kenapa bnyk bgt yg mesum. """,disgusted,
w sq nich yg demen ngegaz krn asiq digangguin mampus u batal puasanya,anger,1
"""BUT IF YOU LOVED ME, WHY DID YOU LEAVE ME?? """,anger,1
Anaknya aji pangestu ganteng bat wooiii:( sebel,sad,5
yey barang aku udah dikirim~~,joy class,3
Coba sebutin fitur2 di MOD wasap yang kalian pake itu??,netral,
Perutku rasanya kosong bgt pengen muntah tp puasa :(,sad,5
Saran lagu yang enak di denger pas lagi perjalanan jauh dong. Drop link spotify kalo bisa. Makasih,joy class,3
"""Artis *** itu apa sih sebenarnya, **** gak sih kalo kita ada perasaan sama *** an kita sendiri? . Padahal kita tau jelas cuma fwb, dan masih aja ada rasa mau lebih""",netral,
"""gue sumpek d rumah, bawa annya un mood ngeetttt lepas wisuda ga ngapa2in, mau dftar beasiswa S2 ga punya uang buat tes TOEFL..help me mengusir wktu sendirian ku ??""",sad,5
Hai! Gaada yg mau say hai back? ??,sad,5
Ku jadi suka liat liga game,joy class,3
bacot nih si Caturtunggal drtd,anger,1
Tuh yang buat story tntg ketemu orang di wp beneran apa ngarang?emang ada anon yang begitu,netral,
Toh apa dosanya nyelingkuhin cewe yang bukan istri kita ga ada kan ? Jadi santai aja bro sis selingkuh aja yang banyak2 mumpung masih muda wkwkw biar berwarna hidup lu,joy class,3
chat yuk? bosen nih buka masih lama wkwk. f19,sad,5
Dan jalan lainnya adalah gue ngiler ajadeh,netral,
"""Lg mau baca artikel surat wasiat pak bowbow, eh malah dihadang """"internet baik"""" telkomsel xD""",sad,5
"""Sedikit cerita. gue main ke rumah sahabat gue.gue tau dia punya rasa sm gue. kebetulan pas itu rumah dia kosong kan, trus gue disuruh nemenin dia di rumahnya. continue""",love,4
caturtunggal caper bgt bgsd gada notip ye di hp lu sian bgt dah.,anger,1
"""Setia itu dilatih , .....""",netral,
"""Banyak ya yg di sini sering minta pendapat soal pacarnya. Misal: """"cowo gue chat sama cewe, menurut kalian gue harus marah apa ga?"""" Saran gue, kurang2in yg kek----cont""",netral,
Ada F chinese kah disini??,netral,
"""njir gue diketekin abang pas stngah sadar,baunya ya gusti,,,mau pingsan dasar abang bngst""",anger,1
"""mau mit n grit dong sm anon sini, rame rame gt tp wkwk""",joy class,3
Ada female yang mau dirate? M19,netral,
"""udah ada 6 kucing di rumah, eh induknya hamil lg. mati sj.""",anger,1
"""Pengen ke hartono mall, tapi cuma pake celana kulot, kaos item, sendal joger, bawa hape sama dompet. Malu aku liat komuk anak mall hartono yang haipbist ituuu""",joy class,3
Dear all. Kenapa setia itu susah.. mengerti harus berthn dalam susah ataupun seng ..,sad,5
DEAR TEAM ENGINEER BABA TOLONGLAH IKLANNYA GOSAH BERSUARA MATI MULU INI SPOTIPAI JD NYA:(,anger,1
Woi gua cowok 178/70 menurut lo semua gimana?,netral,
Cuman four year strong - enemy of the world yg rasanya bisa mewakilkan perasaan gue saat ini dalam sebuah lagu,joy class,3
"""Di rumah gua ada 5 ekor kucing kampung, entah bagaimana mereka sakit secara bersamaan. Lemes, ga mau makan, muntah dan ada satu yg ileran. Gua bingung harus gimana""",fear,2
