polarity,processed
sad,gatau mau ngapain bosen ga ada kegiatan
netral,wa sama ig lagi error gak sih
joy,pengen chat sama f hijab deh suka m
joy,yuk chat tentang apa aja atau keseharian btw gua
joy,yang kelahiran ayo temenan
sad,tiap mau keluar rumah nunggu tetangga pada masuk rumah dulu baru keluar astaga kek male aja padah male basa basi
netral,ada yang pernah nonton ini talkshow secara langsung ga
sad,yg punya huski share dong
joy,gapernah meet sama anon di sini soalnya semua kalo ada yg se kota pc aja ya gw di cirebon siapa tau kita jodoh hehe
sad,chat routin aku sm doi pagi jam keata br bl aku br bgn udhtau aku mau ke ok hilang samp malem aku udh dirumah mau pubg bl bsknya ak ud tdr
joy,beraw di sini app anon gue iseng chat dia di statu puisinya gue suka dia baik asik smart wise janjian ketemuan mundur krn liat dia ganteng minder bs
netral,rekomendasi toko onlin jam tangan wanita ori dong di
netral,ig error
anger,safeti can be fun gw matakloooo
fear,risih ga liat cew kerudungan tangan bajunya tru pale manset gue takut risih
netral,grup kela kalian tipe yg rame apa sepi
joy,aku ada saat ini semuanya karna kasih mu aku hidup hari ini semua berkat kemurahan mu terimakasih yesu engkau sangat baik teramat baik bagi ku happi sunday
joy,udah lama gk nemu anon yg bisa chtan lama samp berminggu minggu f
sad,kangen nontonin kamu futsal
joy,baru buka tell lg sekian lama ini padah abi kena ban wkwkwk
netral,lara bercerita lara itu
netral,serum erto yang kinclong bagu ga sih
netral,ada yg pernah pake serum nacif gk gmna gmana
joy,cuma pengecut yang gamau dan ga berani sama perempuan mandiri makasih untuk siapapun kamu yang bilang ini it warm me up
sad,jato yuk wkwkwk kurang hiburan banget
joy,the best reveng is no reveng
sad,gua chat sama anon cew cuma bertahan seminggu doang sisanya ga gua chat lagi abi itu gua blokir
joy,chat yuk yang berfaedah tapi here
netral,kukumu panjang kata ibu rindu itu karena memang tak pernah di pangka
confused,dilema potong rambut apa jangan
confused,pli lah ini sebenernya hamster yang baru lahir haru dipisah dari bokapnya apa engga gua liat di googl ada yg gaboleh dipisah ada yang haru dipisah hua
joy,bibirnya tipi merah kulitnya putih dia tinggi pake hoodi corak teddi bear geme yawlah bs pa lihat oke gue grogi seketika dan hilang lihat dr jauh aja
sad,kenapa jd mimpi ngelakuin s ex sm jk sm v
joy,hehe maafin tapi kalo chat lo udah tiap jam nanya lagi apa gue ec
joy,kenal sudah tahun baru nyatakan perasaan bulan terakhir sudah mantap saya putuskan year challeng to marri her
netral,ieu mah pasti isi na nu baheula pemain secret whisper saya teru nu lambangna srigala teh naon sih
netral,ada yg pernah minum obat pelangs bentuk ada efek setelah lo minum bakal apa gitu ga
anger,anjrit tuket ke senggol pra haid itu zxccbnmmllll sakit banget
netral,eh putra siregar store itu produknya ori gak sih
sad,ma jemput di sekolah maa jemput jemput di ss nanti jemput ya ma bisa jemput ga baru sadar chat sama adek isinya minta jemput doang
sad,buka gitu aja teru
netral,kentang tu mksdnya apa sih gemuk ky kentang
netral,kalian beli apa ajanih di sociolla
confused,alasen kalian ga masang dp di sosm apasi
netral,gue cuci muka pake sabun dettol batangan aman ga tuh
joy,can i have sugardaddi to fund my master degre abroad pretti pleas
anger,kenapa sih kentang identik jelek padah dia enak
sad,semakin merasa tak berguna mau itu di kuliahan maupun digereja
joy,gua pengen tlpan sama cew gua cowo tahun
netral,ada fsma berhijab kalo ada pc dongh
sad,semakin lama makin pendek chatnya dan kemudian dia pun hilang
sad,gw anak tunggal dr kecil pengen bgt punya abang gimana dong caranya wkwkw
sad,mo bukber sama anon nyokap kamu mau bukber sama siapa gua temen suara kecil buang muka nyokap dimana gua g denger sake mlz diintrogasi
sad,selama gua makan gak dari elu omongan lu gua anggap angin lalu
netral,tp kata dosen gua sih kalian klo makan kentang ibaratnya kek makan pestisida soalnya di dieng budidaya kentang tuh sulit banyak hama dan
joy,mau ngomong sama kalian dong sesama cew juga ayo
fear,pengen ip xr tp mau jg huhu bingung takut nyesel beli
sad,aku subuh baca qunut kamu subuh ga baca
netral,fc move line bekasi
joy,samp sekarang masih chat di sini ga move udah lama banget chattan sm dia tp tetep seru tetep asik dia juga sopan walaupun suka nyebelin nyesel tapi takut bs
joy,i want to talk to talk abt univers odd thing hahahahaahahaha
netral,f bi artinya apaaaannn
sad,pengen nonton tapi tidak punya uang
netral,kalian pernah nemu kasu yang pakek softlen teru masuk ke mata gitu ga itu bener ga sih
sad,kalo aku ikut bukber aku seneng seneng diluar sementara mama kesepian dirumah
sad,bodohnya gua kemaren berlebihan pa diajak move sama cew sampai ga sadar padah tampilan dia amat zonk cuma dibuat sedemikian sok asik akhirnya w sadar
anger,lu cuma punya dua tangan jadi gunain buat nutupin telinga lu bukan buat nutup mulut mereka
confused,kare enak enak kare ngapa gue ada di kare
netral,komen apa yang sekarang lagi lu pikirin atau yang lu pengenin
sad,cowo gabut minta fcan dilin di iyain sm cew cieeee dia maunya pa gabut doang tar juga gabut ilang lo ditingg wkwkwkkw
netral,ku pengen tanya dong kerudung segi empat yg bagu itu yg bagaimana bahanya kisaran berapa harganya
joy,yang share link spotifi selalu gue dengerin loh guy
sad,pernah pengen bundir ga wkwk
joy,mandi jam segini seger bgt gila
sad,aku hanya gadi kentang yang berusaha jadi lebih cantik agar bisa kamu hargai
netral,nama ig edo yg lg rame nama ignya apa
sad,ni bunyi aer nete dr kemaren bikin penasaran eh taunya ac gua bocor
confused,gw mau bagusin badan mend sixpack dulu apa gedein otot tangan
netral,gue menyadari bahwa gue gak terlalu suka chattingan dengan orang hm
netral,woy serum erto kinclong bagu gaakk
netral,w cew gendootz parah ya
confused,ada yang masih chatan saya orang yang disuka tanpa statu tapi akhir akhir ini ada orang lain yang lebih ngasih harapan diband dia ada yg ngerasain kya gtu
sad,sepi bgt yaa m duapuluhkarakt
netral,tteokbokki enak ga sih guy
sad,huaaaaaa mimpiin mantan lagiii
netral,rasa nya kiss ing itu gmn sih cerita dong pc aja kalau bsa m jakarta
netral,ada yang pernah beli skincar shope di ngga dia barangnya ori kan
anger,nonton ini dah yg suka ngatain korea plastik ngaksuka
netral,gue minyak parfum cew
joy,ayo dong baha ttg pertanian indonesah wkwkwk jgn politik mulu lu pada masih butuh makan nasih kan bebih
netral,ada femal yang mau fc dilin
joy,mau lah punya temen chat yg di kehidupan asli nya kayak anak gatau apa apa tp di dunia tell udah tau banyak soal gitu gitu ada ga ayo temenan m
netral,ukhti lebih suka bakso berurat atau enggak m
joy,yg di bandung temenin aku ke pameran yuk
joy,calum hood kok ganteng banget sih
confused,ada yang masih chatan dgn orang yang disuka tanpa statu tbtb ada org lain yg dtng dan memberi lebih dr orang yang kamu suka kamu akan bertahan atau mencoba yg baru
sad,sumpah hari ini leme bgt padah sahur kemarin yg ga sahur malah seger
joy,pale suka liat komentar orang yang berantem author maksudnya apa yang komentar melenceng semua wkwk
disgusted,aku gasuka cowo mesom soalnya aku uda mesom
joy,feeetishhh gue liat muka cew cute
joy,badai pasti berlalu setelah mendung dan hujan pasti akan ada pelangi
netral,pingin f w b an tp mksdnya yg sale support partner kulin partner jalan gk ada sm sekali bisa g si
sad,disini sepi bgt mau instal whisper nanti keinget kenangan yg serbasalah m
sad,tukeran wa sama cowo dari sini liat dpnya ganteng tp gue cuman upil doang
sad,me kampu favorit udh di kontrak buat kerja abi lulu ip selalu punya usaha punya investasi keluarga lbh dr cukup dan love umroh and depress
anger,benci banget sama orang yang kalau pa makan itu ngecap
sad,semua beraw dari wp gue kenal dia yang awalnya asik bgt kita samp akhirnya kita move tapi ketika move ternyata dia ga sesuai sama ekspetasi gue dia jg
disgusted,gasuka kalo di suruh cerita tentang mantan itu wajar ga sih
netral,gua mau cerita nih pengalaman main tinder samp deket sama cowok tinder dan ketemu banyak temen baru darisana ada yang mau nitik
netral,fc tru sebut hewan ke gue dong atau vn aja
netral,ge mau nanya iph x skrng brp ya yg msh baru
netral,the one itu oriflam yakan
sad,ada yang bisa buat saya gak patah hati
sad,td mana ya f jakpu yg mau nemenin nonton malah di ec
netral,ge kalau potong rambut pa puasa puasanya nggak batal kan
netral,facebook w udah tahun aja bentar lagi smp
joy,membagikan playlist spotifi ku untuk kalian mungkin ada yang sukaa silahkan di dengarkan dan mungkin ada yang ingin bertukar sila komen dibawah ya
netral,f bogor ada ga
sad,baru jam segini udah laper aja
fear,depok lagi rawan banget ya
love,hilang ruang untuk cinta yang lain
netral,suka pgn ngeshar playlist spotipai aq tp akun w ada namanya ntar aq direport krn reveal ident
netral,kalian kalo udh move gitu teleponan juga ga sih
netral,feeetissssh kalian apa
netral,ada yang gay disini dm coba
joy,ada f yg mau diceritain fantasi unik gw dijamin langka tpi seru bgt wkwk pm yaaa
joy,baru kali ini fr dan langsung panggil dan gue seketika merind sendiri haha
sad,kenapa kita masih berada di lingkaran yang sama dengan hati sale membungkam rasa padah kita paham akan rasa ini
joy,merasa beruntung ga si kalo dapet goodlok apa b aja kalo gua mah seneng ya wkwk
netral,mend atau xr tr knp
netral,ada fsma yang kela samp
sad,padah aku penasaran dengan cerita mu pak tapi kamu malah hilang
netral,agas mau nanya lagu yang jadi ost hard carri season itu apa ya yang liriknya we can last forev
sad,gatau male pengen lebaran ajah m
sad,tenang saja saya masih mendengarkan kamu bercerita walaupun diantara kita cuma saya yang jatuh cinta
sad,yukk temani libur gw yg sangat tidak produktif ini
sad,kenapa ngerasa kosong banget ya hari ini
netral,mai nakita akong isang baba di ko malimutan ang ka nyang imah ano ba ang nyong pangalan noong nakita kita
netral,ketek ketek ketek ketek
joy,my mood music today is avril lavign song
netral,tolong jangan sebut n word
joy,yang nganggur bisa bgt download popcash di play store lumayan dapetnya bisa dituk nih pake kode gue lgsg dapet haykamu
sad,apa si cew yang itu perasaan sebagai cowo gua liat aja dikampu banyak yang kaya gitu sampai bosen liatnya gua
sad,nastar knp gaenak bgt deh
joy,ayo chat fsma
sad,pengen nikah biar bisa nyobain sama hamil
joy,fc or skypecal yuk singl jkt
fear,eh cara transisi chat yg dari lu gue jadi aku kamu gmn ya takut awkward wkwk
confused,naha timelin a ngahiji jeng jakarta a teu ngarti uy
sad,im frustrat realli frustrat
anger,tolong jangan mesum tolong
joy,cowo yang ga rewel kalo ditingg pa lagi sibuk emang wow
sad,ada yang jurusan teknik kimia kah disini yang bisa dimintai tolong plisss
netral,kmpreto yak timelin a pada makanan semua isinya
netral,ini udah kedua kalinya gw mimpi punya bayi perempuan yg cantik pertanda apa
sad,apa cuman gue doang ketika nikah ga mau punya anak ga tau kenapa
netral,skincar biar muka glow dong
sad,aku tu kalo ke kampu suka bingung make outfit kaya gimana anjir
sad,aku pingin cari m yang udh cape diluar dan udh pingin cri yg seriu
netral,nanya dong cew suka ga nyium vip man
sad,cari partner jogja tp pingin yg lebi tinggi
sad,l apa r alia lapar alia mau makan alia gaada masakan alia mau grabfood gapunya duit
netral,ojo bungah nyawang wong susah ojo susah nyawang wong bungah
joy,feeetish gua liat cew lgi nyemprot air ada sabun nya
anger,w br tw maza novo amor ternyata dah pernah ke indo kok ajg w gtw bgst w pgn liat doi padah bahlul
love,izinkan aku untuk terakhir kalinya semalam saja bersamamu mengenang asmara
anger,jnt taman surya kok lama banget ih ngirimnya udah hari sama osnya dikirim ke tamsur tapi sm jntnya ga
joy,cowo cuek dan cuman perhatian ke cewenya dan ibunya itu waw pengen deh jadi cew itu
netral,ada yang dari universita widya mandala surabaya kah
netral,need part ner langsung pc aja
netral,emang ig error
joy,feeetish gue liat cew klo renang
sad,aduh ini temen a knp ya cover laporan sama daftar isi aja ingin nyontek udah mau selesai belom bisa bikin cover sama daftar isi
sad,f to f yuk lg bosen nih gua mau nya f btw cowo banyak modu
joy,super duper kepingin keluar rumah jalan jalan akhirnya muter muter tanpa arah naik kereta tapi sumpah kayak seru amat
netral,kalo mau appli kerja jd waiter or waitress tuh samperin langsung aja ya langsung
joy,yuk jalan jalan yukkkk
sad,gue klo milih baju kebiasaan berdiri d dpn lemari mantengin tumpukan baju smpe gue nemu inspirasi pake yg mna bisa smpe set jam anjir gitu amat gue
sad,kenapa banyak yg diblokir di wa ya
netral,novo amor plz dtg lg ke indo dong feb ugm gmw ngundang doi pha y
sad,ok googl cara buat mantan menyes m
fear,tidur tidak tenang karena bokap bersihin rumah dengan ngeplay metalan kode minta bantuin ini mah
sad,gue worth it buat diperjuangin
joy,cara ngadepin orang yg sok tau aja biar cepet
netral,asmara berujung zina dan pa zina mati dalam keadaan laknat astagfirullah semoga terhindar dari itu
netral,lippo karawaci anyon
sad,gua punya cowo cemburuan abi rada lebay si misal lg chattan tru ga lngsung keread aja udh ngoceh lelah si tp skrg mlah gua ngerasa aneh klo dia cuek atau sibuk
netral,fetishhh teraneh lo apaan
sad,sakit bat elah anjir
netral,ieu naha aya postingan org jakarta gmn cara ilangin nya
joy,aku suka cewek yang kuru
joy,jebak aku dalam
joy,ada yang mau mabar mobil legend ga haha tapi aku noob masih master baru main lagi nih ce co beba f
joy,femm kuy chatt yg ngerti aja hehe
joy,gatau ya aku sih main app ini buat becandaan
sad,perih cinta aku masih menjadi orang yang pesimi
sad,mau beli cream blush tapi asa sayang duit gt anjir lah
anger,parah dah sekalinya ga cuci muka tr auto tidur muka gue kulit matinya pd keluar
joy,aku kuru suka cowok tua dr aku intinya aku mau kakak ituuuuu
sad,tolong kata katain gue dong gue terlalu bodoh dalam bercinta
joy,novo amor adalah candu tp q dah lama ga dengerin doi krn lg seneng denger lofi utk wktu sad hour ku padah mah g prnh sad cuma aja agar spi merasa punya hati
sad,tmen gua cew kenapa si suka narik narik gue
sad,nyesel gak ikut sahur sekarang malah mau makan jadi gaenak
joy,menurut kalian aneh ga sih gua demen bgt nanya nanyain mantan cowo gua ke doi ngapain aja tru gua cie ciein tru dia ngomel dong padah gua ga masalahin sma skali
fear,lagi deket ama orang yg selalu bale chat cepet kata temen temen juga ganteng tapi guanya malah ragu buat bikin hubungan sama dia
sad,cinta itu simpel sebenernya kalo suka sayang deketin pepet teru kalo ga suka tinggalin cuman kadang manusianya yg bikin rumit
netral,itu yg kaya ketupat di kanan itu apa si
anger,intenet gak kelar nih bt bet
netral,app donlotan di hape gua cm line whatsapp hago twitter tell lo
joy,sahabat cowo gue sere banget ngirimin lucu diinstagram ke dm gue maksudnya apa ya sere banget soalnya
netral,kaka kaka pn kemarin mana nih
netral,kan aku anak pertama cew dan kmren baru aja lulu sma papa aku daridulu selalu nawarin ikut te krn tinggi badan aku cukup tp aku
joy,cuci muka pake air enak
joy,minggu depan ke jogja mindahin barang ke bokap gua nyuruh bawa printeran anjir wkwk
netral,ada yg pernah cobain innisfre green tea special kit
anger,membicarakan mantan pada saat pdkt adalah hal yang kurang panta
sad,klo cm dbl y aza dibiarin read aza g mslh kn yea haft sedih dh q tak pnya tmn chat lg ywdh aq ngebacot saza di mari
joy,pengen meluk cwe dari belakang
netral,ada f jkt need f w bi pc dong
netral,mokel
sad,ada yang dari ui it itb um kah atau dari kampu lain pliss w butuh bantuan
sad,http enak banget huhu
joy,lua membentang terhanyut ku di angkasa raya rupanya menelan bintang terguyur ku di lautan warna rupanya
sad,hatta tri to flirt so do you come here often rachmi thi is my hous
sad,laptop w wifi nya silang merah alia ga mau konek wifi gimana cara benerin nya cui
joy,gua seneng banget buat jadiin orang di kampu jadi bahan bercandaan wkwkw
joy,yok mabar mobil legend tier legend nih baru main lagi seru seruan aje here
sad,mau ngopi tr cerita cerita banyak gt deh jenuh kak
joy,jakarta yang mau d cuddle manja
anger,jadi gue labrak orang ketiga yg ganggu hubungan gue tapi cowo gue malah marah dan blg gue gapant ngomong apa yg gua omongin di chat itu akhirnya dia milih cew itu
joy,fc clean yuk send idnya aja f here
joy,suka dikatain aneh soalnya tipe gua yg item tru tinggi doang kaya orang afrika amerika gt gua suka wkwk aneh ga si
love,just love me right
anger,bgst gue blm tidur dr kmaren dan skrng ngantuk tp gabisa
joy,yang bad girl chat gue dong hahahaha
anger,padah y type mah biar cepet aja anjir namanya jg pesan singkat bukan pesan formal sesuai puebi elah bacot anda smwa
anger,puse anj maen hp mulu smbl boboan drtd
anger,dasar mulu
netral,butuh skinker yang ga terlalu sedengan aja buat kulit prone yang mantulita apa gaeess
joy,gw tetep gak nyerah nyari cewek kristen wkekw kali aja ada wkwkw
netral,disini kan banyak anak twitter coba sebutin berapa follow dan follow kalian sekalian gw mau
joy,sama beda tau yang suka kalian sebut mah biasanya
sad,blm makan dr kemaren
joy,pengen dehh kenal sm cowo tru meet abi itu dia seriu sm gue mupeng f
joy,as the palac burn wrath log meliora ghost adalah album favorit gue sepanjang masa
joy,prinsip gua selama tuh cew masih belum ada hubungan seriu kaya nikah ya gua selingkuhin atau gua tinggalin sesuka gua ga masalah kan hehe jawab aja cuma becanda
joy,demen banget megangin collarbon
anger,ish capek betul dengerin ortu berantem
netral,benget kasep na moal aya jangkung duit loba kurang naon deui atuh sok ajg
sad,enakan spotifi apa joox dah yg gampang bs play free sm gapak data gt
sad,temenin chat kek gue gabut bgt dikeretaa fhere
netral,di fakulta teknik ipk kan wajar ya kan itu termasuk lumayan apa jelek
disgusted,temen w lg bucin beda bgt ye
anger,kalau kamu masih ngambek dan ga mau bilang kita putu aja dah
netral,ba mansionmu terlalu besar sehingga kamu dengan senang hati mempersilahkan untuk berkunjung ase yang singgah beberapa
disgusted,perasaan dulu tell gagini amat dah sekarang kenapa bnyk bgt yg
anger,w sq nich yg demen ngegaz krn asiq digangguin mampu u batal puasanya
anger,but if you love me whi did you leav me
sad,anaknya aji pangestu ganteng bat wooiii sebel
joy,yey barang aku udah
netral,coba sebutin di mod wasap yang kalian pake itu
sad,perutku rasanya kosong bgt pengen muntah tp puasa
joy,saran lagu yang enak di denger pa lagi perjalanan jauh dong drop link spotifi kalo bisa makasih
netral,arti itu apa sih sebenarnya gak sih kalo kita ada perasaan sama an kita sendiri padah kita tau jela cuma fwb dan masih aja ada rasa mau lebih
sad,gue sumpek d rumah bawa annya un mood ngeetttt lepa wisuda ga mau dftar beasiswa ga punya uang buat te toefl help me mengusir wktu sendirian ku
sad,hai gaada yg mau say hai back
joy,ku jadi suka liat liga game
anger,bacot nih si caturtungg drtd
netral,tuh yang buat stori tntg ketemu orang di wp beneran apa ngarang emang ada anon yang begitu
joy,toh apa dosanya nyelingkuhin cew yang bukan istri kita ga ada kan jadi santai aja bro si selingkuh aja yang mumpung masih muda wkwkw biar berwarna hidup lu
sad,chat yuk bosen nih buka masih lama wkwk
netral,dan jalan lainnya adalah gue ngiler ajadeh
sad,lg mau baca artikel surat wasiat pak bowbow eh malah dihadang internet baik telkomsel xd
love,sedikit cerita gue main ke rumah sahabat tau dia punya rasa sm gue kebetulan pa itu rumah dia kosong kan tru gue disuruh nemenin dia di rumahnya continu
anger,caturtungg caper bgt bgsd gada notip ye di hp lu sian bgt dah
netral,setia itu dilatih
netral,banyak ya yg di sini sere minta pendapat soal pacarnya misal cowo gue chat sama cew menurut kalian gue haru marah apa ga saran gue yg kek cont
netral,ada f chines kah disini
anger,njir gue diketekin abang pa stngah sadar baunya ya gusti mau pingsan dasar abang bngst
joy,mau mit n grit dong sm anon sini rame rame gt tp wkwk
netral,ada femal yang mau dirat
anger,udah ada kuce di rumah eh induknya hamil lg mati sj
joy,pengen ke hartono mall tapi cuma pake celana kulot kao item sendal joger bawa hape sama dompet malu aku liat komuk anak mall hartono yang haipbist ituuu
sad,dear all kenapa setia itu susah mengerti haru berthn dalam susah ataupun seng
anger,dear team engin baba tolonglah iklannya gosah bersuara mati mulu ini spotipai jd nya
netral,woi gua cowok menurut lo semua gimana
joy,cuman four year strong enemi of the world yg rasanya bisa mewakilkan perasaan gue saat ini dalam sebuah lagu
fear,di rumah gua ada ekor kuce kampung entah bagaimana mereka sakit secara bersamaan leme ga mau makan muntah dan ada satu yg ileran gua bingung haru gimana
sad,rasanya pengen nangissss gini amat si rasanya
netral,drpd daripada dprd dapirada
netral,f bandung ada yang mau ketemuan nanti udah lebaran
sad,rp yuk bosan dah f here
love,gimana sih perasaan kalian kalo cinta pertama kalian bokap malah jadi orang yg pale kalian benci saat ini bahkan nyesel kalo punya bokap kek dia
sad,mata aku bintitan guy
joy,chat yuk hp ku sepi bgt haha fhere
anger,oyi author loc caturtungg banyak bacot kali ya anda gae nyelingkuhin pacar dosa engga baek engga
anger,orang bodoh kok ditanggapin sama bodohnya lah klean
anger,ngeselin abi gajela juga tapi kok bisa sih gue nyaman sama dia
netral,ada yg udah baca buku mad of god
netral,nanya dong beda bagu ga ya
netral,saranin nama kochenk donkkk doi himalaya
netral,ada f mau jadi f w b langsung chat aja
sad,ada yang ngerti googl form gaaa pli gue butuh bantuannn
joy,temenan di line yukkkkk
sad,yg mau nampung curhatan gua f
anger,wajar si ga di umur yg ngamok selalu bant bate barang kamar tr lega
joy,what if i like you hmm
netral,gini jadi tuh simpelnya tuh object yg bikin kamu turn on dan tanpa adanya object tersebut tuh kamu ga bisa turn on bedanya sama kink simak komen
netral,soundcloud http
sad,badan ku sakit semuaaa hahaha
joy,pgn ada yg chat tp gua suka male balesnya xixixixix
netral,hai siang chat gue cewek anak akun udh sih
sad,ada gak sih di sini yang bisa chatan awet gak perlu baper baperan juga sama sama usaha membangun percakapan yang menarik capek gue kalo nemu teru ilang gitu mulu
sad,gw pengen bikin akun twitter lagi tapi semua nomer hp udah kepak
anger,eh aku juga loc caturtungg tapi bukan yang bacot itu astagaaaa kesel jadi nya deh
sad,dulu gue suka ninggalin cowok sekarang gue yang ditingg hahaha
joy,prinsip banyak anak banyak rezeki kayanya terjadi di keluarga gue emang sih cuma anak tp yg tadinya hidup susah banget skrng alhamdulilah
netral,disini usia nya wkwk
anger,gabakalan gue maafin lo gue emang gabak ngelakuin apa apa ke lo tapi inget ya karma itu ada
sad,takkan kubiarkan kau menangi takkan kubiarkan kau terkiki terluka perasaan oleh semua ucapanku
netral,ada yang lagi di hnm gakkk mintol dong saya
sad,baba pleas do your magic gw butuh temen chat lagi gabut parah here
netral,pasar kosambi kebakaran gede ya
netral,weh yg punya spotifi legal premium famili gue join dong jgn tp kalo bisa bayarnya pake aja jgn pulsa ribet
joy,other than dicc and pussssi everi other thing is just a social construct enjoy whatev you want
sad,iya aku gendut iya emang ga pant suka kamu wassalam ma
joy,http dengerin samp abi have fun
netral,recommend lagu dong guy
sad,pengen pulang ke padang
sad,ternyata cari temen chat yg awet susah yaaaa f disini kebanyakan pengen chat sama yg seumuran atau ngga yg brondong
anger,bangk lah cew kalo move auto jaim gaasik
sad,pernah gak si lu baru bangun tidur teru ngerasa bau asem darimanaaaa taunya dari baju lu sendiri wkwkwk
joy,gue ketemu anak kosan gue yg gan pa lagi buang sampah teru doi pake baju tulisan tokyo warna ungu yg notaben sama perci baju gue dulu
sad,untuk pertama kalinya bruntusan dan itu di
anger,org ngliat aku luarnya doang bisa aja seenaknya bilang kamu sabar ya ga tau apa didalem sini rasanya pengen ndang kelar ndang mari ndang we g numpuk dosa kan kelar si
sad,sok sokan liat baju di shope orang duit thr aja belom turun
sad,demi apapun ini hp sepi bgt
sad,kalian suka ngebayangin diri kalian sm ma crush kek di gt gaa wkwkkw yg kayak misal kita sakit sekarat teru menyedihkan gt deh
netral,yakin gak mau ngechat aq
joy,kadang geme liat kuce yg ra baik main coon persia anggora bulunya lebat lebat tapi gue milih miara kuce liar krn dom juga panta disayangi
joy,what if i give you my smile are you gon na stay for awhil
joy,klo lgi haid gini boleh ga sih nontn film yg ada adegan dirtyy nya gitu kaya kisssssng
confused,jaman gua awal main app anon masih kok skrg udh aja wkwk
netral,ada yg mau fr rule nya kalian yg atur
joy,eh acid ghost ena jg fufufufufu
sad,menikah itu sederhana resepsinya yang ribet
sad,girl ada yg pernah pacaran ama anak organisasi yg sibuk gt bisa bertahan lama ga sih apa malah bentar krn gakuat dia sibuk mulu
sad,gue belum prnh pacaran apa kemungkinan besar pasangan gue dia suka bermain main gonta ganti pasangan temen gue mah kalo ngomong bikin orang ciut wae da
netral,ada yg suka lagunya boy pablo ga
sad,eh chat hayuk bosen
sad,chat yu bt bgt gue gatau mau ngapain
sad,turori nirusin pipi dong dear tp bkn contour ya
sad,kenapa ya gue selalu dikira cowo kalo chat sama anon
sad,dek kamu belum punya pacar cari sana masa kamu nanti kalo lebaran sendiri kan sekarang kaka pasti sama cowonya dikira pacar tinggal ngambil kali ya
sad,aku rindu bermonolog dengan diri sendiri seakan aku tak lagi mengen diriku lagi
netral,ukhti bagaimana kondisimu setelah menikah lebih bahagia m
sad,ada yg mati saat itu dalam kerinduan yg tak terobatiiiiiii
anger,jimajijima bukihajima ah mbohlah
netral,chatlah bt
sad,gua batal menikah gua ga mau
joy,pingin melihara kuce hutan gua
joy,chatan yuk kali aja cocok
netral,soalnya di spotipai ada lagu anti mainstream
netral,kenapa cowok suka lemah kalo liat leher cewek
joy,apa gue kelainan ya suka ngejar cowo yang gue suka abi kalo di deketin ga sesuai
netral,ponakan masuk kamar ponakan mamiii onti ga puasa emaknya onti men kak ponakan aku juga mau lah men biar ga puasa akhirnya di kasih penjelasan
joy,ada f chinese line yukk m clean
netral,kalian prefer cowok metalhead atau indi
netral,kalo udah buka puasa boleh kan
netral,mungkin gak sih dapet pacar dari app anon kayak gini here
netral,ad ga sih disini yg f katolik
joy,prefer cowo dangdut sih kalo aku
joy,senank ada anon suka di posesipin gue wkwk dr awal main ini samp skrg awett uwwwuu bgt wkwk gue f nya wkwk
netral,aeon sentul udh dibuka belom
sad,pa kecil sere mandi bareng teru tidur bareng cowo udah gede malah gak kenal cowo
joy,lebih enak pacaran ama yg udh kerja lu bisa di kasih makan
