polarity;text
sad;"""Kalo aku ikut bukber, aku seneng seneng diluar sementara mama kesepian dirumah"""
sad;Bodohnya gua kemaren berlebihan pas diajak move sama cewe sampai ga sadar padahal tampilan dia amat zonk cuma dibuat sedemikian sok asik akhirnya w sadar
anger;"""Lu cuma punya dua tangan, jadi gunain buat nutupin telinga lu. Bukan buat nutup mulut mereka."""
confused;"""Kare enak, enak kare, ngapa gue ada di kare"""
netral;Komen apa yang sekarang lagi lu pikirin atau yang lu pengenin? - M22
sad;"""cowo gabut minta fcan diline, di iyain sm cewe. cieeee dia maunya pas gabut doang tar juga gabut ilang lo ditinggal wkwkwkkw """
netral;"""Ku pengen tanya dong, kerudung segi empat yg bagus itu yg bagaimana bahanya? Kisaran berapa harganya?"""
joy;Yang share link spotify selalu gue dengerin loh guys ??
sad;pernah pengen bundir ga? wkwk
joy;Mandi jam segini seger bgt gila....
sad;"""Aku hanya gadis kentang yang berusaha jadi lebih cantik, agar bisa kamu hargai:)"""
netral;nama ig edo yg lg rame. nama ignya apa?
sad;"""Ni bunyi aer netes dr kemaren bikin penasaran, eh taunya ac gua bocor"""
confused;"""gw mau bagusin badan,mending sixpack dulu apa gedein otot tangan?"""
netral;Gue menyadari bahwa gue gak terlalu suka chattingan dengan orang hm
netral;WOY SERUM ERTOS KINCLONG BAGUS GAAKK???
netral;W cewe 67/164 gendootz parah ya?
confused;Ada yang masih chatan saya orang yang disuka (tanpa status) ? tapi akhir akhir ini ada orang lain yang lebih ngasih harapan dibanding dia ? ada yg ngerasain kya gtu?
sad;Sepi bgt yaa. M(duapuluhkarakter)
netral;Tteokbokki enak ga sih guys?
sad;Huaaaaaa mimpiin mantan lagiii:((((
netral;rasa nya kiss ing itu gmn sih? cerita dong.. pc aja kalau bsa.. M JAKARTA
netral;Ada yang pernah beli skincare shopee di stylefollow.id ngga? Dia barangnya ori kan?
anger;"""Nonton ini dah yg suka ngatain korea plastik,ngaksuka boleh.https://youtu.be/ZKRXEcVY4Zc"""
netral;****** gue minyak parfum cewe
joy;ayo dong kali2 bahas ttg pertanian indonesah wkwkwk jgn politik mulu. lu pada masih butuh makan nasih kan bebih
netral;Ada female yang mau fc diline? M19
joy;Mau lah punya temen chat yg di kehidupan asli nya kayak anak gatau apa apa tp di dunia tell udah tau banyak soal gitu gitu ada ga? ?? ayo temenan M
netral;Ukhti lebih suka bakso berurat atau enggak? M.
joy;yg di bandung temenin aku ke pameran yuk!
joy;Calum hood kok ganteng banget sih??
confused;Ada yang masih chatan dgn orang yang disuka (tanpa status)? tbtb ada org lain yg dtng dan memberi lebih dr orang yang kamu suka. Kamu akan bertahan atau mencoba yg baru?
sad;"""sumpah hari ini lemes bgt:( padahal sahur, kemarin yg ga sahur malah seger"""
joy;"""paling suka liat komentar orang yang berantem. author maksudnya apa, yang komentar melenceng semua wkwk"""
disgusted;aku gasuka cowo mesom soalnya aku uda mesom
joy;Feeetishhh gue liat muka cewe cute
joy;"""Badai pasti berlalu, setelah mendung dan hujan pasti akan ada pelangi """
netral;"""Pingin f w b an tp mksdnya yg saling support, partner kuliner, partner jalan. Gk ada mesum2nya sm sekali bisa g si -jogja"""
sad;Disini sepi bgt. Mau install whisper nanti keinget kenangan yg dulu2. Serbasalah. M
sad;Tukeran wa sama cowo dari sini. Liat dpnya : ganteng tp gue cuman upil doang
sad;"""Me, 21: kampus favorit, udh di kontrak buat kerja abis lulus, ip selalu >3.5, punya usaha, punya investasi, keluarga lbh dr cukup dan loving, umroh >1 and depressed"""
anger;Benci banget sama orang yang kalau pas makan itu ngecap.
sad;"""Semua berawal dari wp. Gue kenal dia yang awalnya asik bgt, kita seru2an,sampe akhirnya kita move, tapi ketika move ternyata dia ga sesuai sama ekspetasi gue, dia jg.."""
disgusted;Gasuka kalo di suruh cerita tentang mantan itu wajar ga sih? M23
netral;"""Gua mau cerita nih pengalaman main tinder sampe deket sama cowok tinder 2x dan ketemu banyak temen baru darisana, ada yang mau nitik?"""
netral;"""fc trus sebut nama2 hewan ke gue dong, atau vn aja gpp. """
netral;"""Ges mau nanya, kira2 iph x skrng brp ya yg msh baru? """
netral;The one itu oriflame yakan?
sad;Ada yang bisa buat saya gak patah hati?
sad;Td mana ya f 20 jakpus yg mau nemenin nonton malah di ec
netral;"""Ges, kalau potong rambut pas puasa, puasanya nggak batal kan?"""
netral;"""Facebook w udah 10 tahun aja, bentar lagi SMP"""
joy;"""membagikan playlist spotify ku untuk kalian. mungkin ada yang sukaa, silahkan di dengarkan ? dan mungkin ada yang ingin bertukar, sila komen dibawah ya. F20"""
netral;F bogor ada ga??????????
sad;baru jam segini udah laper aja
fear;Depok lagi rawan banget ya
love;Hilang ruang untuk cinta yang lain.
netral;suka pgn ngeshare playlist spotipai aq tp akun w ada namanya ntar aq direport krn reveal identity
netral;kalian kalo udh move gitu teleponan juga ga sih
netral;Feeetissssh kalian apa
netral;ada yang gay disini? dm coba
joy;Ada F yg mau diceritain fantasi unik gw? Dijamin langka tpi seru bgt wkwk. PM yaaa
joy;"""Baru kali ini fr dan langsung panggil yang2an, dan gue seketika merinding sendiri haha"""
sad;Kenapa kita masih berada di lingkaran yang sama dengan hati saling membungkam rasa padahal kita sama-sama paham akan rasa ini
joy;merasa beruntung ga si kalo dapet goodloking? apa b aja? kalo gua mah seneng ya wkwk
netral;Mending S10e atau xr?Trs knp??
netral;Ada fsma yang kelas 10 sampe 11?
sad;"""Padahal aku penasaran dengan cerita mu pak, tapi kamu malah hilang:)"""
netral;agase mau nanya lagu yang jadi ost got7 hard carry season 2 itu apa ya? yang liriknya we can last forever
sad;Gatau males pengen lebaran ajah.. - M
sad;"""Tenang saja, saya masih mendengarkan kamu bercerita, walaupun diantara kita, cuma saya yang jatuh cinta"""
sad;Yukk temani libur gw yg sangat tidak produktif ini -m20
sad;Kenapa ngerasa kosong banget ya hari ini.....
netral;Mai nakita akong isang babae di ko malimutan ang ka nyang imahe ano ba ang nyong pangalan noong nakita kita
netral;Ketek ketek ketek ketek
joy;My mood music today is avril lavigne songs
netral;Tolong jangan sebut N word
joy;"""Yang nganggur bisa bgt download popcash di play store lumayan dapetnya bisa dituker ovo/gopay/pulsa. Nih pake kode gue lgsg dapet 20k """"haykamu"""""""
sad;"""Apa si cewe yang goodloking2 itu ?,perasaan sebagai cowo gua liat cewe.itu sama2 aja dikampus banyak yang kaya gitu sampai bosen liatnya gua"""
sad;Nastar knp gaenak bgt deh
joy;ayo chat! fsma (20krktr)
sad;Pengen cepat2 nikah biar bisa nyobain *** sama hamil :(
joy;Fc or skypecall yuk m22 single jkt
fear;eh cara transisi chat yg dari lu gue jadi aku kamu gmn ya? takut awkward wkwk
confused;Naha timeline aing ngahiji jeng jakarta? Aing teu ngarti uy
sad;im frustrated. really frustrated.
anger;tolong jangan mesum tolong
joy;Cowo yang ga rewel kalo ditinggal pas lagi sibuk emang wow.
sad;Ada yang jurusan teknik kimia kah disini? Yang bisa dimintai tolong plisss
netral;Kmpretos yak timeline aing pada makanan semua isinya
netral;"""ini udah kedua kalinya gw mimpi punya bayi perempuan yg cantik, pertanda apa?"""
sad;apa cuman gue doang. ketika nikah ga mau punya anak?:( ga tau kenapa
netral;skincare biar muka glowing dong
sad;aku tu kalo ke kampus suka bingung make outfit kaya gimana anjir????
sad;Aku f21. pingin cari M yang udh cape nakal2 diluar dan udh pingin cri yg serius
netral;"""Nanya dong, cewe suka ga nyium vip s3xy man?"""
sad;"""Cari partner jogja, tp pingin yg lebi tinggi :( -F"""
sad;l apa r alias lapar alias mau makan alias gaada masakan alias mau grabfood gapunya duit
netral;"""Ojo bungah nyawang wong susah, ojo susah nyawang wong bungah"""
joy;Feeetish gua liat cewe lgi nyemprot air ada sabun nya
anger;w br tw maza novo amor ternyata dah pernah ke indo kok ajg w gtw bgst w pgn liat doi padahal bahlul:(
love;"""izinkan aku untuk terakhir kalinya, semalam saja bersamamu mengenang asmara kita~"""
anger;JNT TAMAN SURYA KOK LAMA BANGET IH NGIRIMNYA? UDAH 3 HARI SAMA OSNYA DIKIRIM KE TAMSUR TAPI SM JNTNYA GA DIKIRIM-KIRIM:(
joy;"""cowo cuek dan cuman perhatian ke cewenya dan ibunya itu waw, pengen deh jadi cewe itu"""
netral;Ada yang dari Universitas widya mandala surabaya kah?
netral;"""M25jkt 175/65 need part ner, langsung pc aja"""
netral;Emang ig error? ????????????????????????
joy;Feeetish gue liat cewe klo renang
sad;"""Aduh ini temen aing knp ya, cover laporan sama daftar isi aja ingin nyontek, udah mau selesai semester2 belom bisa bikin cover sama daftar isi?:("""
sad;F to f yuk . Lg bosen nih . (Gua mau nya f btw) cowo banyak modus
joy;Super duper kepingin keluar rumah jalan jalan. Akhirnya... muter muter tanpa arah naik kereta. Tapi sumpah kayak seru amat??????
netral;kalo mau apply kerja jd waiter or waitress tuh samperin langsung aja ya nanya2 langsung
joy;yuk jalan jalan yukkkk ????
sad;"""Gue klo milih baju kebiasaan berdiri d dpn lemari mantengin tumpukan baju smpe gue nemu inspirasi pake yg mna. Bisa"""" smpe set jam anjir gitu amat gue :'"""
sad;Kenapa banyak yg diblokir di WA ya
netral;novo amor plz dtg lg ke indo dong feb ugm gmw ngundang doi pha y
sad;"""Ok google,cara buat mantan menyesal?m"""
fear;tidur tidak tenang karena bokap bersihin rumah dengan ngeplay metalan. kode minta bantuin ini mah
sad;gue worth it buat diperjuangin.
joy;cara ngadepin orang yg sok tau: di-iyain aja biar cepet
netral;"""Asmara berujung zina, dan pas zina mati dalam keadaan laknat Astagfirullah semoga terhindar dari itu.."""
netral;lippo karawaci anyone?
sad;"""Gua punya cowo cemburuan abis, rada lebay si misal lg chattan trus ga lngsung keread aja udh ngoceh. Lelah si, tp skrg mlah gua ngerasa aneh klo dia cuek atau sibuk gawe. """
netral;fetishhh teraneh lo apaan
sad;Sakit bat elah anjir????
netral;Ieu naha aya postingan org jakarta? Gmn cara ilangin nya
joy;Aku suka cewek yang kurus.. M23
joy;Jebak aku dalam labirinmu~
joy;"""Ada yang mau mabar mobile legend ga? Haha tapi aku noob masih master, baru main lagi nih ce co bebas F"""
joy;"""Femme kuy chatt, yg ngerti aja hehe.."""
joy;Gatau ya aku sih main app ini buat becandaan????????
sad;"""Perihal cinta, aku masih menjadi orang yang pesimis"""
sad;mau beli cream blush tapi asa sayang duit gt anjir lah :(((
anger;parah dah sekalinya ga cuci muka trs auto tidur bangun2 muka gue kulit matinya pd keluar
joy;"""aku kurus, suka cowok gemuk+putih+lebih tua dr aku. intinya aku mau kakak ituuuuu????????"""
sad;"""tolong kata katain gue dong, gue terlalu bodoh dalam bercinta"""
joy;novo amor adalah candu tp q dah lama ga dengerin doi krn lg seneng denger lofi utk wktu sad hour ku padahal mah g prnh sad cuma sok2an aja agar spy merasa punya hati
sad;Tmen gua cewe kenapa si suka narik narik gue
sad;nyesel gak ikut sahur:( sekarang malah mau makan jadi gaenak??
joy;"""Menurut kalian aneh ga sih, gua demen bgt nanya nanyain mantan cowo gua ke doi, ngapain aja, trus gua cie ciein ?? trus dia ngomel dong, padahal gua ga masalahin sma skali"""
fear;lagi deket ama orang yg selalu bales chat cepet kata temen temen juga ganteng tapi guanya malah ragu buat bikin hubungan sama dia:(
sad;"""Cinta itu simpel sebenernya, kalo suka sayang deketin pepet terus, kalo ga suka tinggalin. Cuman kadang manusianya yg bikin rumit. M23 """
netral;Itu yg kaya ketupat di kanan Itu apa si?
anger;Intenet bangsd.tugas gak kelar nih bt bet
netral;"""App donlotan di hape gua cm line, whatsapp, hago, twitter, tell. Lo? """
joy;"""sahabat cowo gue sering banget ngirimin video2 lucu diinstagram ke dm gue, maksudnya apa ya? sering banget soalnya."""
netral;Kaka kaka pns kemarin mana nih? ??
netral;kan aku anak pertama. cewe. dan kmren baru aja lulus SMA. papa aku daridulu selalu nawarin ikut tes polri/tni krn tinggi badan aku cukup. tp aku
joy;Cuci muka pake air marj4n enak
joy;Minggu depan ke jogja mindahin barang ke kosan~ bokap gua nyuruh bawa printeran anjir wkwk
netral;Ada yg pernah cobain innisfree green tea special kit?
anger;Membicarakan mantan pada saat pdkt adalah hal yang kurang pantas.
sad;klo cm dbls 'y' aza dibiarin read aza g mslh kn yea haft sedih dh q tak pnya tmn chat lg ywdh aq ngebacot saza di mari
joy;pengen meluk cwe dari belakang
netral;Ada f 20 - 25 jkt need f w bi? Pc dong
netral;Mokel...............
sad;"""Ada yang dari ui, its, itb, ums kah? Atau dari kampus lain. Pliss w butuh bantuan"""
sad;"""https://www.instagram.com/p/BuKqervHFoR/?igshid=i35m7y1nh7ge enak banget huhu :"""""""
joy;Luas membentang Terhanyut ku di angkasa raya rupanya Menelan bintang Terguyur ku di lautan warna rupanya
sad;"""hatta, trying to flirt: so... do you come here often? rachmi: this is my house"""
sad;"""laptop w wifi nya silang merah alias ga mau konek wifi, gimana cara benerin nya cui??"""
joy;Gua seneng banget buat jadiin orang di kampus jadi bahan bercandaan wkwkw
joy;Yok mabar mobile legend. Tier Legend 5 nih baru main lagi. Seru seruan aje. M22 here
sad;mau ngopi trs cerita cerita banyak gt deh. jenuh kak
joy;"""m23, jakarta,, yang mau d cuddlee manja."""
anger;"""jadi gue labrak orang ketiga yg ganggu hubungan gue, tapi cowo gue malah marah dan blg gue gapantes ngomong apa yg gua omongin di chat itu, akhirnya dia milih cewe itu"""
joy;Fc clean yuk. Send idnya aja f here
joy;suka dikatain aneh soalnya tipe gua yg item trus tinggi doang kaya orang afrika amerika gt gua suka wkwk aneh ga si?
love;Just love me right?????
anger;Bgst gue blm tidur dr kmaren. Dan skrng ngantuk tp gabisa tidur2 :((
joy;Yang bad girl chat gue dong hahahaha m21
anger;padahal y typing singkat2 mah biar cepet aja anjir namanya jg pesan singkat bukan pesan formal sesuai puebi elah bacot anda smwa
anger;pusing anj maen hp mulu smbl boboan drtd
anger;dasar nenek2 pagi2 ngomel2 mulu ??
netral;"""Butuh skinker! Yang ga terlalu murah/mahal (sedengan aja), buat kulit oily-acne prone, yang mantulita, apa gaeess?"""
joy;gw tetep gak nyerah nyari cewek kristen wkekw. kali aja ada wkwkw.. m24nasranijogja
netral;Disini kan banyak anak twitter. Coba sebutin berapa followers dan following kalian. Sekalian gw mau nanya2
joy;"""Fet¡sh sama k¡nk beda tau, yang suka kalian sebut mah biasanya k¡nk"""
sad;blm makan dr kemaren ******
joy;"""Pengen dehh kenal sm cowo, trus meet, abis itu dia serius sm gue *mupeng F"""
joy;"""As the Palaces Burn, Wrath - LoG & Meliora - Ghost adalah album favorit gue sepanjang masa"""
joy;"""Prinsip gua selama tuh cewe masih belum ada hubungan serius kaya nikah ya gua selingkuhin atau gua tinggalin sesuka gua ga masalah kan ? Hehe jawab aja """"cuma becanda"""""""
joy;Demen banget megangin collarbone
anger;ISH CAPEK BETUL DENGERIN ORTU BERANTEM
netral;"""Benget kasep na moal aya, jangkung duit loba kurang naon deui atuh sok ajg"""
sad;enakan spotify apa joox dah? yg gampang bs play free sm gapake data gt:(
sad;temenin chat kek gue gabut bgt dikeretaa.. fhere
netral;di fakultas teknik ipk 2.9 kan wajar ya kan? itu termasuk lumayan apa jelek?
disgusted;Temen w lg bucin beda bgt ye.
anger;Kalau kamu masih ngambek dan ga mau bilang kita putus aja dah
netral;"""Ba, mansionmu terlalu besar sehingga kamu dengan senang hati mempersilahkan tamu-tamu untuk berkunjung. Tamu-tamu asing yang singgah beberapa saat. """
disgusted;"""perasaan dulu tell gagini amat dah, sekarang kenapa bnyk bgt yg mesum. """
anger;w sq nich yg demen ngegaz krn asiq digangguin mampus u batal puasanya
anger;"""BUT IF YOU LOVED ME, WHY DID YOU LEAVE ME?? """
sad;Anaknya aji pangestu ganteng bat wooiii:( sebel
joy;yey barang aku udah dikirim~~
netral;Coba sebutin fitur2 di MOD wasap yang kalian pake itu??
sad;Perutku rasanya kosong bgt pengen muntah tp puasa :(
joy;Saran lagu yang enak di denger pas lagi perjalanan jauh dong. Drop link spotify kalo bisa. Makasih
netral;"""Artis *** itu apa sih sebenarnya, **** gak sih kalo kita ada perasaan sama *** an kita sendiri? . Padahal kita tau jelas cuma fwb, dan masih aja ada rasa mau lebih"""
sad;"""gue sumpek d rumah, bawa annya un mood ngeetttt lepas wisuda ga ngapa2in, mau dftar beasiswa S2 ga punya uang buat tes TOEFL..help me mengusir wktu sendirian ku ??"""
sad;Hai! Gaada yg mau say hai back? ??
joy;Ku jadi suka liat liga game
anger;bacot nih si Caturtunggal drtd
netral;Tuh yang buat story tntg ketemu orang di wp beneran apa ngarang?emang ada anon yang begitu
joy;Toh apa dosanya nyelingkuhin cewe yang bukan istri kita ga ada kan ? Jadi santai aja bro sis selingkuh aja yang banyak2 mumpung masih muda wkwkw biar berwarna hidup lu
sad;chat yuk? bosen nih buka masih lama wkwk. f19
netral;Dan jalan lainnya adalah gue ngiler ajadeh
sad;"""Lg mau baca artikel surat wasiat pak bowbow, eh malah dihadang """"internet baik"""" telkomsel xD"""
love;"""Sedikit cerita. gue main ke rumah sahabat gue.gue tau dia punya rasa sm gue. kebetulan pas itu rumah dia kosong kan, trus gue disuruh nemenin dia di rumahnya. continue"""
anger;caturtunggal caper bgt bgsd gada notip ye di hp lu sian bgt dah.
netral;"""Setia itu dilatih , ....."""
netral;"""Banyak ya yg di sini sering minta pendapat soal pacarnya. Misal: """"cowo gue chat sama cewe, menurut kalian gue harus marah apa ga?"""" Saran gue, kurang2in yg kek----cont"""
netral;Ada F chinese kah disini??
anger;"""njir gue diketekin abang pas stngah sadar,baunya ya gusti,,,mau pingsan dasar abang bngst"""
joy;"""mau mit n grit dong sm anon sini, rame rame gt tp wkwk"""
netral;Ada female yang mau dirate? M19
anger;"""udah ada 6 kucing di rumah, eh induknya hamil lg. mati sj."""
joy;"""Pengen ke hartono mall, tapi cuma pake celana kulot, kaos item, sendal joger, bawa hape sama dompet. Malu aku liat komuk anak mall hartono yang haipbist ituuu"""
sad;Dear all. Kenapa setia itu susah.. mengerti harus berthn dalam susah ataupun seng ..
anger;DEAR TEAM ENGINEER BABA TOLONGLAH IKLANNYA GOSAH BERSUARA MATI MULU INI SPOTIPAI JD NYA:(
netral;Woi gua cowok 178/70 menurut lo semua gimana?
joy;Cuman four year strong - enemy of the world yg rasanya bisa mewakilkan perasaan gue saat ini dalam sebuah lagu
fear;"""Di rumah gua ada 5 ekor kucing kampung, entah bagaimana mereka sakit secara bersamaan. Lemes, ga mau makan, muntah dan ada satu yg ileran. Gua bingung harus gimana"""
sad;"""Rasanya pengen nangissss, Gini amat si rasanya :( """
netral;"""drpd = daripada, DPRD = DAPIRADA"""
netral;F bandung ada yang mau ketemuan nanti udah lebaran? M20+ 178/70
sad;"""RP yuk bosan dah, f here."""
love;"""gimana sih perasaan kalian kalo cinta pertama kalian (bokap) malah jadi orang yg paling kalian benci saat ini, bahkan nyesel kalo punya bokap kek dia:) """
sad;Mata aku bintitan guys:(
joy;Chat yuk? Hp ku sepi bgt haha. Fheree
anger;"""Oyy author loc Caturtunggal, banyak bacot kali ya anda ini-_- gaes, NYELINGKUHIN PACAR DOSA ENGGA? BAEK ENGGA?"""
anger;"""Orang bodoh kok ditanggapin, sama bodohnya lah klean"""
anger;"""Ngeselin abis, gajelas juga. Tapi kok bisa sih gue nyaman sama dia? ??"""
netral;ada yg udah baca buku madness of god?
netral;ciwi2 nanya dong. beda brun2 bagus ga ya?
netral;SARANIN NAMA KOCHENK DONKKK DOI HIMALAYA
